Cards  Prob
0 0 0.0
0 0 0.0
0 0 0.34892649
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 0 0.0
0 1 0.0
0 1 0.0
0 1 0.17522596000000001
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 1 0.0
0 2 0.0
0 2 0.0
0 2 0.17172736
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 2 0.0
0 3 0.0
0 3 0.0
0 3 0.18173169
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 3 0.0
0 4 0.0
0 4 0.0
0 4 0.18481401
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 4 0.0
0 5 0.0
0 5 0.0
0 5 0.18601969000000002
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 5 0.0
0 6 0.0
0 6 0.0
0 6 0.20539024
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 6 0.0
0 7 0.0
0 7 0.0
0 7 0.22372899999999998
0 7 0.0
0 7 0.0
0 7 0.0
0 7 0.0
0 7 0.0
